t(s),m1_X (m),m1_Y (m),m1_Z(m),m2_X (m),m2_Y (m),m2_Z(m),m3_X (m),m3_Y (m),m3_Z(m)
0,0,0,0,0.1092540061,0.1092540061,-0.4755282581,0.1765038573,0.1765038573,-0.4446265587
0.01,0,0,0,0.1092571455,0.1092571455,-0.4755268156,0.1765067927,0.1765067927,-0.4446242282
0.02,0,0,0,0.109278984,0.109278984,-0.4755167792,0.1765272119,0.1765272119,-0.4446080149
0.03,0,0,0,0.1093375305,0.1093375305,-0.475489862,0.1765819516,0.1765819516,-0.4445645383
0.04,0,0,0,0.1094494342,0.1094494342,-0.475438369,0.1766865732,0.1766865732,-0.4444813941
0.05,0,0,0,0.1096293628,0.1096293628,-0.4753554519,0.1768547755,0.1768547755,-0.4443475855
0.06,0,0,0,0.1098894485,0.1098894485,-0.4752353293,0.1770978733,0.1770978733,-0.4441538996
0.07,0,0,0,0.1102388247,0.1102388247,-0.4750734712,0.1774243593,0.1774243593,-0.443893223
0.08,0,0,0,0.1106832716,0.1106832716,-0.4748667463,0.1778395709,0.1778395709,-0.4435607896
0.09,0,0,0,0.1112249825,0.1112249825,-0.4746135339,0.1783454722,0.1783454722,-0.4431543581
0.1,0,0,0,0.1118624623,0.1118624623,-0.4743137981,0.1789405629,0.1789405629,-0.4426743158
0.11,0,0,0,0.1125905605,0.1125905605,-0.4739691249,0.179619917,0.179619917,-0.4421237054
0.12,0,0,0,0.1134006385,0.1134006385,-0.4735827176,0.1803753487,0.1803753487,-0.4415081734
0.13,0,0,0,0.1142808638,0.1142808638,-0.4731593477,0.1811957004,0.1811957004,-0.4408358383
0.14,0,0,0,0.1152166202,0.1152166202,-0.4727052579,0.1820672389,0.1820672389,-0.4401170765
0.15,0,0,0,0.1161910177,0.1161910177,-0.4722280114,0.1829741436,0.1829741436,-0.4393642288
0.16,0,0,0,0.1171854818,0.1171854818,-0.4717362883,0.1838990674,0.1838990674,-0.4385912288
0.17,0,0,0,0.1181803999,0.1181803999,-0.4712396271,0.1848237471,0.1848237471,-0.4378131622
0.18,0,0,0,0.1191558017,0.1191558017,-0.4707481172,0.1857296389,0.1857296389,-0.437045767
0.19,0,0,0,0.120092046,0.120092046,-0.47027205,0.1865985571,0.1865985571,-0.4363048899
0.2,0,0,0,0.1209704916,0.1209704916,-0.469821541,0.1874132911,0.1874132911,-0.435605919
0.21,0,0,0,0.121774128,0.121774128,-0.4694061392,0.1881581808,0.1881581808,-0.4349632145
0.22,0,0,0,0.122488145,0.122488145,-0.4690344429,0.1888196321,0.1888196321,-0.4343895637
0.23,0,0,0,0.1231004221,0.1231004221,-0.4687137422,0.1893865553,0.1893865553,-0.4338956849
0.24,0,0,0,0.1236019235,0.1236019235,-0.4684497081,0.1898507165,0.1898507165,-0.4334898048
0.25,0,0,0,0.1239869858,0.1239869858,-0.4682461475,0.1902069911,0.1902069911,-0.4331773322
0.26,0,0,0,0.1242534916,0.1242534916,-0.4681048383,0.1904535127,0.1904535127,-0.4329606437
0.27,0,0,0,0.124402922,0.124402922,-0.4680254545,0.1905917165,0.1905917165,-0.4328389946
0.28,0,0,0,0.1244402891,0.1244402891,-0.4680055864,0.1906262738,0.1906262738,-0.4328085575
0.29,0,0,0,0.1243739496,0.1243739496,-0.4680408543,0.190564922,0.190564922,-0.4328625891
0.3,0,0,0,0.124215305,0.124215305,-0.4681251072,0.1904181925,0.1904181925,-0.4329917134
0.31,0,0,0,0.1239783981,0.1239783981,-0.4682506953,0.1901990465,0.1901990465,-0.4331843089
0.32,0,0,0,0.1236794182,0.1236794182,-0.4684087991,0.1899224258,0.1899224258,-0.4334269769
0.33,0,0,0,0.1233361299,0.1233361299,-0.4685897973,0.1896047345,0.1896047345,-0.4337050718
0.34,0,0,0,0.1229672447,0.1229672447,-0.4687836532,0.1892632647,0.1892632647,-0.4340032641
0.35,0,0,0,0.122591756,0.122591756,-0.468980301,0.1889155862,0.1889155862,-0.4343061162
0.36,0,0,0,0.1222282605,0.1222282605,-0.4691700168,0.1885789206,0.1885789206,-0.4345986441
0.37,0,0,0,0.1218942898,0.1218942898,-0.4693437591,0.1882695207,0.1882695207,-0.4348668476
0.38,0,0,0,0.121605677,0.121605677,-0.4694934703,0.1880020803,0.1880020803,-0.4350981908
0.39,0,0,0,0.1213759817,0.1213759817,-0.4696123317,0.1877891946,0.1877891946,-0.4352820198
0.4,0,0,0,0.1212159954,0.1212159954,-0.4696949701,0.1876408951,0.1876408951,-0.4354099091
0.41,0,0,0,0.1211333458,0.1211333458,-0.469737613,0.1875642761,0.1875642761,-0.4354759289
0.42,0,0,0,0.121132217,0.121132217,-0.4697381952,0.1875632296,0.1875632296,-0.4354768304
0.43,0,0,0,0.1212131946,0.1212131946,-0.4696964157,0.1876382987,0.1876382987,-0.4354121469
0.44,0,0,0,0.1213732445,0.1213732445,-0.4696137466,0.1877866575,0.1877866575,-0.4352842089
0.45,0,0,0,0.1216058234,0.1216058234,-0.4694933945,0.1880022159,0.1880022159,-0.4350980735
0.46,0,0,0,0.1219011184,0.1219011184,-0.4693402121,0.1882758477,0.1882758477,-0.4348613691
0.47,0,0,0,0.1222464064,0.1222464064,-0.4691605613,0.1885957292,0.1885957292,-0.4345840561
0.48,0,0,0,0.1226265174,0.1226265174,-0.4689621248,0.1889477771,0.1889477771,-0.434278108
0.49,0,0,0,0.1230243858,0.1230243858,-0.4687536677,0.1893161652,0.1893161652,-0.4339571168
0.5,0,0,0,0.1234216666,0.1234216666,-0.4685447518,0.1896839009,0.1896839009,-0.4336358328
0.51,0,0,0,0.1237993954,0.1237993954,-0.4683454061,0.1900334379,0.1900334379,-0.4333296493
0.52,0,0,0,0.1241386654,0.1241386654,-0.468165765,0.1903473028,0.1903473028,-0.4330540481
0.53,0,0,0,0.1244213001,0.1244213001,-0.4680156837,0.1906087128,0.1906087128,-0.4328240256
0.54,0,0,0,0.1246304956,0.1246304956,-0.4679043483,0.1908021631,0.1908021631,-0.4326535208
0.55,0,0,0,0.1247514125,0.1247514125,-0.467839898,0.1909139654,0.1909139654,-0.4325548701
0.56,0,0,0,0.124771698,0.124771698,-0.4678290786,0.1909327207,0.1909327207,-0.4325383131
0.57,0,0,0,0.1246819202,0.1246819202,-0.467876947,0.1908497126,0.1908497126,-0.4326115745
0.58,0,0,0,0.1244759037,0.1244759037,-0.4679866438,0.1906592096,0.1906592096,-0.4327795416
0.59,0,0,0,0.1241509536,0.1241509536,-0.468159248,0.1903586694,0.1903586694,-0.4330440555
0.6,0,0,0,0.1237079629,0.1237079629,-0.4683937231,0.1899488385,0.1899488385,-0.4334038273
0.61,0,0,0,0.1231513996,0.1231513996,-0.468686959,0.189433745,0.189433745,-0.4338544831
0.62,0,0,0,0.1224891729,0.1224891729,-0.4690339061,0.188820584,0.188820584,-0.4343887362
